Word,Positivity,Negativity,Objectivity
सक्षम,0.1875,0.0,0.8125
असमर्थ,0.0625,0.40625,0.53125
एबैक्सियल,0.0,0.0,1.0
पृष्ठीय,0.0,0.0,1.0
अडैक्सियल,0.0,0.0,1.0
वेंट्रल,0.0,0.0,1.0
एक्रोस्कोपिक,0.0,0.0,1.0
बेसिस्कोपिक,0.0,0.0,1.0
अपहरणकर्ता,0.0,0.0,1.0
अपहरण,0.0,0.0,1.0
एड्यूसेंट,0.0,0.0,1.0
एडक्टिव,0.0,0.0,1.0
स्वीकार किया जा रहा है,0.0,0.0,1.0
नवजात,0.0,0.0,1.0
उभरते हुए,0.0625,0.125,0.8125
उभर रहा है,0.0,0.0,1.0
असंतुष्ट,0.25,0.0,0.75
पारटुरियंट,0.125,0.0,0.875
मर रहा है।,0.03125,0.3125,0.65625
मर चुका है।,0.0,0.375,0.625
अंतिम,0.0019687414169311523,4.744529724121094e-05,0.9979838132858276
संक्षिप्त किया गया,0.0,0.0,1.0
काट लें।,0.01562646043749716,1.908280864881875e-06,0.984371631281638
संक्षिप्त करें,0.0,0.0,1.0
आधी लंबाई,0.1875,0.0,0.8125
पॉट किया गया,0.0,0.0,1.0
असंबद्ध,0.25,0.0,0.75
पूर्ण लंबाई,0.375,0.0,0.625
बिना कटा हुआ,0.0546875,0.255859375,0.689453125
निरपेक्ष,0.12109375,0.30078125,0.578125
सीधे,0.07031258940696716,2.9802322387695312e-08,0.9296873807907104
अंतर्निहित,0.4375,0.25,0.3125
निर्विवाद,0.375,0.5625,0.0625
अनंत।,0.0234375,0.0625,0.9140625
जी रहे हैं।,0.01123046875,0.00439453125,0.984375
रिश्तेदार,0.03125,0.0625,0.90625
तुलनात्मक,0.0625,0.125,0.8125
संबंधात्मक,0.0,0.0,1.0
अवशोषक,0.09375,0.0,0.90625
शर्बक,0.375,0.0,0.625
आत्मसात करना,0.0,0.75,0.25
आत्मसात करने वाला,0.0,0.75,0.25
हाइग्रोस्कोपिक,0.0,0.0,1.0
ग्रहणशील,0.125,0.015625,0.859375
आघात-अवशोषक,0.0,0.0,1.0
स्पंज,0.0625,0.0,0.9375
स्पंज के समान,0.0625,0.0,0.9375
प्यासी।,0.203125,0.125,0.671875
गैर-अवशोषक,0.0,0.375,0.625
गैर-अवशोषित,0.0,0.375,0.625
विकर्षक,0.0390625,0.21875,0.7421875
प्रतिरोधी,0.078125,0.46875,0.453125
अधिशोषक,0.0,0.0,1.0
सतह-समतुल्य,0.0,0.0,1.0
केमिसॉर्प्टिव,0.0,0.25,0.75
कीमोसोर्प्टिव,0.0,0.25,0.75
अवशोषणीय,0.5,0.0,0.5
अधिशोषणीय,0.25,0.0,0.75
अधिशोषित करें,0.3125,0.0,0.6875
रूखे-रूखे।,0.3125,0.0625,0.625
दूर रहने वाला।,0.0,0.46875,0.53125
तपस्वी,0.1875,0.09375,0.71875
कठोर,0.25,0.25,0.5
स्पार्टन,0.4375,0.1875,0.375
पेटू।,0.0,0.0,1.0
मूर्खतापूर्ण,0.0,0.25,0.75
बेहूदा।,0.0,0.5,0.5
होशियार।,0.0,0.0,1.0
गूढ़।,0.21875,0.375,0.40625
बदतमीजी।,0.0625,0.125,0.8125
रेवेनिंग,0.0625,0.125,0.8125
शरारतपूर्ण।,0.125,0.3125,0.5625
तेजतर्रार।,0.125,0.25,0.625
भेड़िया,0.0,0.0,1.0
लालची।,0.1875,0.125,0.6875
हॉगीश,0.0,0.125,0.875
पिगीश,0.0,0.125,0.875
पिगी,0.0,0.0625,0.9375
पोर्किन,0.0625,0.03125,0.90625
स्विनिश,0.125,0.375,0.5
अतिशयी।,0.125,0.375,0.5
बहुत लालची,0.125,0.375,0.5
अमूर्त,0.0,0.0625,0.9375
अवधारणात्मक,0.375,0.125,0.5
विचारशील,0.375,0.0,0.625
कल्पनाशील,0.109375,0.5625,0.328125
आदर्श,0.421875,0.0,0.578125
वैचारिक,0.0625,0.0625,0.875
विचारवादी,0.125,0.125,0.75
कंक्रीट,0.0390625,0.015625,0.9453125
उद्देश्य,0.03125,0.02734375,0.94140625
सक्षम,0.1875,0.0,0.8125
असमर्थ,0.0625,0.40625,0.53125
एबैक्सियल,0.0,0.0,1.0
पृष्ठीय,0.0,0.0,1.0
अडैक्सियल,0.0,0.0,1.0
वेंट्रल,0.0,0.0,1.0
एक्रोस्कोपिक,0.0,0.0,1.0
बेसिस्कोपिक,0.0,0.0,1.0
अपहरणकर्ता,0.0,0.0,1.0
अपहरण,0.0,0.0,1.0
एड्यूसेंट,0.0,0.0,1.0
एडक्टिव,0.0,0.0,1.0
स्वीकार किया जा रहा है,0.0,0.0,1.0
नवजात,0.0,0.0,1.0
