POS_TAG ID POS NEG LIST_OF_WORDS
a 10363 0.0 0.0 अनौपचारिक,अनौपचारिकता
a 2627 0.0 0.75 मृत,मृतपोषण
a 11476 0.125 0.0 परवर्ती,अमरपरवर्ती
a 28106 0.25 0.375 अच्छा,बढ़िया,अच्छे
a 1156 0.875 0.0 सौभाग्यशाली,खुशकिस्मत,खुशनसीब,तक़दीर_वाला,नसीब_वाला,भाग्यवान,भाग्यशाली,ख़ुशक़िस्मत,ख़ुशनसीब,सोभाग्यशाली
a 2279 0.0 1.0 दुर्भाग्यशाली,अभागा,बदनसीब,भाग्यहीन,मनहूस,बदकिस्मत,मंदभाग्य,बदक़िस्मत,दईमारा,कमबख्त,कमबख़्त,अधन्य,अभागी,अभाग्यशाली
a 2384 0.0 0.875 आवासहीन,आश्रयहीन,गृहहीन,गृहविहीन,बेघर,बेघरबार,अगतिक,अगेह,अनिकेत,आवासांे
a 4714 0.25 0.125 सुगंधित,सुगन्धित,ख़ुशबूदार,सुगंधपूर्ण,सुरभित,अधिवासित,खुशबूदार,असुगंधित
a 1488 0.0 0.75 बदबूदार,दुर्गंधपूर्ण,दुर्गंधयुक्त,दुर्गंधित,खुषबूदार
a 29150 0.0 0.0 लगा,लगा_हुआ,लगी
a 23485 0.125 0.625 ढीला,ढीलाढाला
a 12353 0.125 0.5 अश्लिष्ट,असंयुक्त,असंयोजित,असंबद्ध,अलग,अजुड़ा,अजोड़,पृथक्,जुदा,पृथक,अपृक्त,सश्लिष्ट
a 2775 0.0 0.75 पराधीन,गुलाम,परतंत्र,अन्याधीन,अपरवश,परवश,अवश,अबस,पराधीन
a 28187 0.0 0.0 अधिकतः,अधिकांशतः,प्रायः,अधिकतं
a 6375 0.5 0.375 ताज़ा,ताजा,अम्लान,ताज़ादम
a 1479 0.5 0.25 बासी,बसिया,कलबासी
a 11712 0.0 0.125 कठिनाई_से,जैसे_तैसे,मुश्किल_से,कठिनतः,कठिनाई
a 23486 0.0 0.375 ढीला,ढीलाढाला
a 22458 0.0 0.25 सड़ा,सड़ाओ
a 2443 0.0 0.625 जड़,अचैतन्य,जड़त्वयुक्त,स्थूल,अजैव,भौतिक,अचेतन,चेतनारहित,अजीव,अनात्म,आत्मारहित,गलनः
a 10307 0.0 0.25 हत,वधित,मक़तूल,
a 3760 0.125 0.25 दोस्ताना,मित्रवत,मित्रतापूर्ण,मित्रोचित,मैत्रीपूर्ण,यो
a 16933 0.25 0.5 मृतजात,एस
a 3650 0.0 0.0 बर्फीला,बर्फानी,बर्फानी,बर्फ़ानी,बर्फ़ीला,बरफीला,बरफानी,बरफानी,बरफ़ानी,बरफ़ीला,हिमयुक्त,बर्फीली
a 8213 0.5 0.125 फलदार,फलद,फलदायी,फलदायक,फ़ूलदार
a 22554 0.0 0.875 अफल,अफलित,फलहीन,फलरहित,फलविहीन,कंठशूल
a 3195 0.0 0.25 असफल,नाकामयाब,विफल,नाकाम,निष्फल,विफल
a 12164 0.0 0.625 निस्संतान,निःसंतान,बेऔलाद,संतानहीन,संतानरहित,अऊत,अनपत्य,नि
