['अनौपचारिकता', 'अनौपचारिकीकरण', 'लिएपाठ्यक्रमअनौपचारिक', 'निरौपचारिक', 'अनौपचारिका', 'औपचारिक', 'पचारिक']
['मृतपोषण', 'मृतक', 'जीवित', 'समानअविनाश', '32,925', 'रोगग्रत', 'ग्लो\u200dबल']
['अमरपरवर्ती', 'पूर्वापरवर्ती', 'परवर्ति', 'परवर्त्ती', 'परवर्तीय', 'पूर्ववर्ती', '1.2.5.4']
['अच्छे', 'अच्चा', 'अच्छाखासा', 'कीअच्छा', 'औरअच्छा', 'हो.अच्छा', 'हीअच्छा']
['सोभाग्यशाली', 'अभाग्यशाली', 'भाग्यशाली', 'सौभाग्यशील', 'शोभाग्यशाली', 'सौभाग्याशाली', 'सौभाग्यशालियों']
['अभाग्यशाली', 'भग्यशाली', 'सौभग्यशाली', 'शोभाग्यशाली', 'सोभाग्यशाली', 'भाग्यशाली', 'सौभाग्यशाली']
['आवासांे', 'आवासाें', 'आवासहीनता', 'आवासियों', 'आवासविहीन', 'आवास', 'आवासेय']
['असुगंधित', 'सुगंधितफूलों', 'सुगंधिंत', 'सुगंधिं', 'सुगंधिम', 'सुगंधिम्', 'सुगंधि\u200dत']
['खुषबूदार', 'बदबू', 'वोसीकी', 'खूशबूदार', 'ख़ुश्बूदार', 'दुर्गन्ध', 'दुर्गंधयुक्त']
['लगी', 'दिया', 'लगता', 'लगाया', 'लगने', 'लगाने', 'लगेगा']
['ढीलाढाला', 'दीर्घितक', 'ढीलाई', 'ढीलापोली', 'लडखडाता', 'शिथिल', 'ढीली']
['सश्लिष्ट', 'श्लिष्ट', 'श्लिष्टयोगात्मक', 'अभिश्लिष्ट', 'प्रश्लिष्ट', 'म्लिष्ट', 'विश्लिष्ट']
['05पराधीन', 'पराधीनता', 'पराधीनतासे', 'अपराधीन', 'पराधी', 'परतंत्र', 'पराधेर्']
['अधिकतं', 'शब्दसंबंधी', 'शब्दक्रम', 'व्याकरणानुसारी', 'व्याकरणनुसारी', 'अधिकतक', 'क्रमसंयोजन']
['ताज़ादम', 'खबरसमोसे', 'ताजा', 'खबरगरीब', 'खबरपीस', 'ताज़ागी', 'ताज़ापन']
['कलबासी', 'खबासी', 'pmबासी', 'बासीड़ां', 'सबासी', 'बासीपन', 'दुरेर']
['कठिनाई\u200d', 'कठिनाईयोँ', 'कठिनाह', 'कठिनाइओं', 'कठिनाई.एक', 'कठिना', 'कठिनाईपूर्वक']
['ढीलाढाला', 'दीर्घितक', 'ढीलाई', 'ढीलापोली', 'लडखडाता', 'शिथिल', 'ढीली']
['सड़ाओ', 'सड़ायँध', 'सड़ाक', 'सडा', 'सड़ा', 'सड़ाए', 'सड़ासड़']
['गलनः', 'ब्यर', 'जड़ों', 'जड', 'Onontomulo', 'चेतनहि', 'चेतनमय']
['�ो', '�ै', '�़', '�ं', '�े', '�ू', 'ू']
['योmilfsदोस्ताना', 'शॉटदोस्ताना', 'दोस्तान', 'दोस्ताने', 'दोस्ता', 'दोस्तानी', 'मैत्रीपूर्ण']
['zLnq67cp5bCg9nLFbHYd32Lq0JQMXfrVNElEyg1loPfMaUNhcvmxbAGZmvOZ0A4kAnUyJuhz5X7Ogv_1bviius0t8WmpPxT_1Lnul2qi0HvntkrA_1ula', '2BAAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAEhQTFRFr73ZobTPusjdsMHZp7nVwtDhzNbnwM3fu8jdq7vUt8nbxtDkw9DhpbfSvMrfssPZqLvVztbno7bRrr7W1d', '0;2,1,1,2,1,1,4,1,1,6,1,1,8,1,1,10,1,1,12', 'jdjdjhcfjjhjgkgjvkocpfkeebhduyrhehehejeieifucjrbtkrp', 'seBRc0nLfCqliwPLckkYjLT_1Wc78LsTtWg4kRo7VHSdXLoybKvHIsAnIT4ujxWK7wm5no6lSp48LfYvTOUMGcDAri4kKu1jtxIGfyQi0aIKKfF06Te2g5xX9QaLDaP6zkwor3Bvth7JXGRPF4cWl16J71IdBOtdvYWNstkBv382rz2Pep4yOxuofe0cF7fyG5rabvoewCHanUAziF6xv413gBpiFxoXNpn28I3XKDolWVtUZoeH7Pn0CWA', 'vJsZwpbaZY8tb4WY4lMt3aJZNA3UpaczkxWJpE_1yMraJH1aHEocQvY5RIUmOig4BYeoO6qpRyPRdk_1SAhsev_1YhSkgk_1A9CH7E_1kPWJqhxvdr0rqjXe3OY3O2ShNBc', 'एस_के_बी_एम्_ईन्टर_कॉलेज']
['बर्फीली', 'बर्फीस', 'बर्फकी', 'बर्फिले', 'बर्फिला', 'बर्फपात', 'बर्फों']
['फ़ूलदार', 'फ़लदार', 'रोपें', 'पेड़', 'वृक्षों', 'सुबबूल', 'खेलदार']
['कंठशूल', 'अनओमिक', 'VIUX', 'EOG', 'लिएगहन', '30,717', 'इव्क']
['विफल', 'नाकाम', 'प्रयास', 'कोशिश', 'कामयाब', 'असफला', 'नाकामयाब']
['नि:संतान', '12972संतान', '4203संतान', '4538संतान', '4530संतान', '2214संतान', '6983संतान']
