Word,Positivity,Negativity,Objectivity
able,0.1875,0.0,0.8125
unable,0.0625,0.40625,0.53125
abaxial,0.0,0.0,1.0
dorsal,0.0,0.0,1.0
adaxial,0.0,0.0,1.0
ventral,0.0,0.0,1.0
acroscopic,0.0,0.0,1.0
basiscopic,0.0,0.0,1.0
abducent,0.0,0.0,1.0
abducting,0.0,0.0,1.0
adducent,0.0,0.0,1.0
adductive,0.0,0.0,1.0
adducting,0.0,0.0,1.0
nascent,0.0,0.0,1.0
emergent,0.0625,0.125,0.8125
emerging,0.0,0.0,1.0
dissilient,0.25,0.0,0.75
parturient,0.125,0.0,0.875
dying,0.03125,0.3125,0.65625
moribund,0.0,0.375,0.625
last,0.0019687414169311523,4.744529724121094e-05,0.9979838132858276
abridged,0.0,0.0,1.0
cut,0.01562646043749716,1.908280864881875e-06,0.984371631281638
shortened,0.0,0.0,1.0
half-length,0.1875,0.0,0.8125
potted,0.0,0.0,1.0
unabridged,0.25,0.0,0.75
full-length,0.375,0.0,0.625
uncut,0.0546875,0.255859375,0.689453125
absolute,0.12109375,0.30078125,0.578125
direct,0.07031258940696716,2.9802322387695312e-08,0.9296873807907104
implicit,0.4375,0.25,0.3125
unquestioning,0.375,0.5625,0.0625
infinite,0.0234375,0.0625,0.9140625
living,0.01123046875,0.00439453125,0.984375
relative,0.03125,0.0625,0.90625
comparative,0.0625,0.125,0.8125
relational,0.0,0.0,1.0
absorbent,0.0,0.0,1.0
absorptive,0.0,0.0,1.0
absorbefacient,0.375,0.0,0.625
sorbefacient,0.375,0.0,0.625
assimilating,0.0,0.75,0.25
assimilative,0.0,0.75,0.25
assimilatory,0.0,0.75,0.25
hygroscopic,0.0,0.0,1.0
receptive,0.125,0.015625,0.859375
shock-absorbent,0.0,0.0,1.0
spongy,0.0625,0.0,0.9375
spongelike,0.0625,0.0,0.9375
thirsty,0.203125,0.125,0.671875
nonabsorbent,0.0,0.5,0.5
nonabsorptive,0.0,0.5,0.5
repellent,0.0390625,0.21875,0.7421875
resistant,0.078125,0.46875,0.453125
adsorbent,0.0,0.0,1.0
adsorptive,0.0,0.0,1.0
surface-assimilative,0.0,0.0,1.0
chemisorptive,0.0,0.25,0.75
chemosorptive,0.0,0.25,0.75
nonadsorbent,0.0,0.25,0.75
nonadsorptive,0.0,0.25,0.75
absorbable,0.5,0.0,0.5
adsorbable,0.25,0.0,0.75
adsorbate,0.3125,0.0,0.6875
abstemious,0.3125,0.0625,0.625
abstinent,0.0,0.3125,0.6875
abstentious,0.0,0.625,0.375
ascetic,0.125,0.0625,0.8125
ascetical,0.25,0.125,0.625
austere,0.25,0.25,0.5
spartan,0.4375,0.1875,0.375
gluttonous,0.0,0.0,1.0
crapulous,0.0,0.25,0.75
crapulent,0.0,0.5,0.5
edacious,0.0,0.0,1.0
esurient,0.21875,0.375,0.40625
rapacious,0.0625,0.125,0.8125
ravening,0.0625,0.125,0.8125
ravenous,0.125,0.3125,0.5625
voracious,0.125,0.25,0.625
wolfish,0.0,0.0,1.0
greedy,0.1875,0.125,0.6875
hoggish,0.0,0.125,0.875
piggish,0.0,0.125,0.875
piggy,0.0,0.0625,0.9375
porcine,0.0625,0.03125,0.90625
swinish,0.125,0.375,0.5
overgreedy,0.125,0.375,0.5
too-greedy,0.125,0.375,0.5
abstract,0.0,0.0625,0.9375
conceptional,0.375,0.0,0.625
ideational,0.375,0.0,0.625
notional,0.109375,0.5625,0.328125
conceptual,0.375,0.25,0.375
ideal,0.421875,0.0,0.578125
ideological,0.0625,0.0625,0.875
ideologic,0.125,0.125,0.75
concrete,0.0390625,0.015625,0.9453125
objective,0.03125,0.02734375,0.94140625
real,0.1343994140625,0.1298828125,0.7357177734375
tangible,0.203125,0.0,0.796875
abundant,0.0,0.25,0.75
abounding,0.0,0.25,0.75
galore,0.0625,0.125,0.8125
ample,0.03125,0.0,0.96875
copious,0.0625,0.0,0.9375
plenteous,0.125,0.0,0.875
plentiful,0.15625,0.0625,0.78125
rich,0.08026123046875,0.013702392578125,0.906036376953125
voluminous,0.0,0.0625,0.9375
easy,0.11678314208984375,0.00611114501953125,0.877105712890625
exuberant,0.21875,0.28125,0.5
lush,0.09375,0.203125,0.703125
luxuriant,0.46875,0.0625,0.46875
profuse,0.0,0.25,0.75
riotous,0.09375,0.59375,0.3125
thick,0.000762939453125,0.0010986328125,0.998138427734375
long,0.21099853515625,0.21893310546875,0.570068359375
overabundant,0.125,0.5,0.375
plethoric,0.125,0.5,0.375
rife,0.0625,0.25,0.6875
rampant,0.0,0.15625,0.84375
rank,0.328887939453125,0.103515625,0.567596435546875
superabundant,0.125,0.5,0.375
teeming,0.0,0.0,1.0
torrential,0.03125,0.09375,0.875
verdant,0.125,0.5,0.375
scarce,0.0625,0.125,0.8125
rare,0.2578125,0.33984375,0.40234375
tight,0.20410919189453125,0.000438690185546875,0.7954521179199219
abused,0.1875,0.375,0.4375
ill-treated,0.0,0.625,0.375
maltreated,0.0,0.625,0.375
mistreated,0.0,0.625,0.375
battered,0.0,0.75,0.25
unabused,0.375,0.25,0.375
acceptable,0.453125,0.0,0.546875
bankable,0.125,0.0,0.875
unexceptionable,0.25,0.625,0.125
unimpeachable,0.1875,0.59375,0.21875
unobjectionable,0.1875,0.40625,0.40625
unacceptable,0.203125,0.359375,0.4375
exceptionable,0.0,0.375,0.625
objectionable,0.0,0.5,0.5
accessible,0.4375,0.015625,0.546875
approachable,0.40625,0.0,0.59375
reachable,0.375,0.0,0.625
come-at-able,0.5625,0.0,0.4375
get-at-able,0.625,0.0,0.375
getatable,0.625,0.0,0.375
handy,0.21875,0.15625,0.625
ready_to_hand,0.125,0.125,0.75
inaccessible,0.25,0.375,0.375
unaccessible,0.5,0.125,0.375
outback,0.0625,0.0,0.9375
remote,0.01953125,0.0,0.98046875
pathless,0.125,0.25,0.625
roadless,0.125,0.25,0.625
