Words; Positive; Negative; Neutral
brave: 0.9753086419753086 0.0 0.024691358024691357 
audacious: 0.9808210967935271 0.0 0.01917890320647288 
brave_out: 0.7777777777777778 0.0 0.2222222222222222 
gay: 0.9868944805283935 0.008888913290545029 0.004216606181061509 
hardy: 0.7288135593220338 0.2711864406779661 0.0 
unfearing: 1.0 0.0 0.0 
dauntless: 1.0 0.0 0.0 
courageous: 1.0 0.0 0.0 
endure: 0.925709088825239 0.06307372932217556 0.01121718185258547 
intrepid: 1.0 0.0 0.0 
fearless: 1.0 0.0 0.0 
weather: 0.8 0.0 0.2 
braw: 1.0 0.0 0.0 
useful: 1.0 0.0 0.0 
utilitarian: 1.0 0.0 0.0 
utile: 1.0 0.0 0.0 
happy: 1.0 0.0 0.0 
glad: 1.0 0.0 0.0 
felicitous: 1.0 0.0 0.0 
well-chosen: 1.0 0.0 0.0 
sweet: 0.9791256368551703 0.013883076440788568 0.006991286704041175 
scented: 1.0 0.0 0.0 
sweet-flavored: 1.0 0.0 0.0 
sugariness: 1.0 0.0 0.0 
angelical: 1.0 0.0 0.0 
unfermented: 0.9791256360499283 0.01388307697633718 0.006991286973734561 
sweet-smelling: 1.0 0.0 0.0 
sugared: 1.0 0.0 0.0 
Sweet: 1.0 0.0 0.0 
mellisonant: 1.0 0.0 0.0 
odoriferous: 1.0 0.0 0.0 
afters: 1.0 0.0 0.0 
Henry_Sweet: 1.0 0.0 0.0 
dulcet: 1.0 0.0 0.0 
honeyed: 1.0 0.0 0.0 
fresh: 0.979125644613364 0.013883071280985792 0.006991284105650199 
seraphic: 1.0 0.0 0.0 
gratifying: 1.0 0.0 0.0 
sweet-scented: 1.0 0.0 0.0 
mellifluous: 1.0 0.0 0.0 
sweetly: 1.0 0.0 0.0 
confection: 1.0 0.0 0.0 
dessert: 1.0 0.0 0.0 
angelic: 1.0 0.0 0.0 
sweetness: 1.0 0.0 0.0 
odorous: 1.0 0.0 0.0 
sweetened: 1.0 0.0 0.0 
perfumed: 1.0 0.0 0.0 
cherubic: 1.0 0.0 0.0 
good: 0.9637424433435952 0.02446985324059495 0.011787703415809866 
just: 0.9637423444679613 0.024469919970746497 0.01178773556129221 
serious: 0.9637420503585091 0.02447017643428666 0.011787773207204167 
practiced: 0.9637423446940041 0.02446991981819249 0.011787735487803359 
sound: 0.9245768587419345 0.06408933128262075 0.011333809975444777 
trade_good: 1.0 0.0 0.0 
dear: 0.9637445924437399 0.024468402834941907 0.011787004721318215 
skilful: 0.9637423446702101 0.024469919834250807 0.011787735495539029 
estimable: 0.9637423440515666 0.024469920251767033 0.011787735696666407 
commodity: 1.0 0.0 0.0 
salutary: 0.9637423439444937 0.02446992032402946 0.011787735731476916 
adept: 0.9637433688950612 0.024469224004696942 0.011787407100241823 
secure: 0.9292927849568268 0.06000041675774132 0.010706798285431912 
honest: 0.9637423442895064 0.02446992009118387 0.011787735619309722 
full: 0.963742342917527 0.024469920131329658 0.011787736951143291 
ripe: 0.9637423439920816 0.024469920291912826 0.011787735716005578 
beneficial: 0.9637423439444937 0.02446992032402946 0.011787735731476916 
thoroughly: 1.0 0.0 0.0 
upright: 0.9637424978789197 0.024469682099880534 0.011787820021199708 
skillful: 0.9637423447891801 0.024469919753959228 0.011787735456860687 
goodness: 1.0 0.0 0.0 
dependable: 0.9637423445750343 0.02446991989848407 0.0117877355264817 
effective: 0.9637423441586395 0.024469920179504608 0.011787735661855899 
proficient: 0.9637423450747079 0.024469919561259434 0.011787735364032667 
in_effect: 0.9637423440277726 0.02446992026782535 0.011787735704402075 
undecomposed: 0.9637423440158756 0.02446992027585451 0.01178773570826991 
near: 0.9637417621190547 0.024469832453235495 0.011788405427709784 
soundly: 1.0 0.0 0.0 
safe: 0.9637423454554116 0.024469919304326387 0.01178773524026198 
right: 0.9498799210770008 0.04178752089148042 0.008332558031518738 
honorable: 0.9637423441348455 0.024469920195562926 0.011787735669591567 
well: 0.9224136946943983 0.06602055806249062 0.011565747243111085 
expert: 0.9637423448843561 0.024469919689725964 0.011787735425918013 
respectable: 0.9637423614449614 0.024469908513143155 0.011787730041895395 
unspoilt: 0.9637423440039786 0.02446992028388367 0.011787735712137745 
in_force: 0.9637423439801847 0.024469920299941984 0.011787735719873413 
unspoiled: 0.9637423440277726 0.02446992026782535 0.011787735704402075 
soft: 1.0 0.0 0.0 
sonant: 1.0 0.0 0.0 
delicate: 1.0 0.0 0.0 
diffuse: 0.9034297572918109 0.09559674149288938 0.0009735012152997737 
voiced: 1.0 0.0 0.0 
indulgent: 1.0 0.0 0.0 
flabby: 1.0 0.0 0.0 
easygoing: 1.0 0.0 0.0 
piano: 1.0 0.0 0.0 
balmy: 0.9998779595407274 0.00012204045927257213 0.0 
flaccid: 1.0 0.0 0.0 
mild: 0.01756440281030445 0.8477751756440282 0.13466042154566746 
subdued: 0.3157894736842105 0.3157894736842105 0.3684210526315789 
diffused: 1.0 0.0 0.0 
easy: 0.891647855530474 0.05417607223476298 0.05417607223476298 
gentle: 0.16227362381208535 0.7172314864622557 0.12049488972565896 
cushy: 1.0 0.0 0.0 
lenient: 1.0 0.0 0.0 
selfless: 1.0 0.0 0.0 
altruistic: 1.0 0.0 0.0 
sincere: 1.0 0.0 0.0 
solemn: 0.02084446819882416 0.8444681988241582 0.13468733297701763 
earnest: 1.0 0.0 0.0 
marvellous: 1.0 0.0 0.0 
fantastic: 0.9981203007518797 0.0018796992481203006 0.0 
wondrous: 1.0 0.0 0.0 
howling: 1.0 0.0 0.0 
terrific: 1.0 0.0 0.0 
tremendous: 0.9939393939393939 0.006060606060606061 0.0 
wonderful: 1.0 0.0 0.0 
improbable: 1.0 0.0 0.0 
rattling: 0.999996903173583 7.146522500662319e-07 2.3821741668874397e-06 
tall: 1.0 0.0 0.0 
marvelous: 1.0 0.0 0.0 
miraculous: 1.0 0.0 0.0 
grand: 0.9875525201930174 0.008313307158674444 0.004134172648308113 
brilliant: 1.0 0.0 0.0 
bright: 1.0 0.0 0.0 
vivid: 1.0 0.0 0.0 
superb: 1.0 0.0 0.0 
brainy: 1.0 0.0 0.0 
magnificent: 1.0 0.0 0.0 
smart_as_a_whip: 1.0 0.0 0.0 
glorious: 1.0 0.0 0.0 
splendid: 1.0 0.0 0.0 
pleasant: 1.0 0.0 0.0 
intelligent: 1.0 0.0 0.0 
level-headed: 1.0 0.0 0.0 
thinking: 1.0 0.0 0.0 
levelheaded: 1.0 0.0 0.0 
reasoning: 1.0 0.0 0.0 
well-informed: 1.0 0.0 0.0 
healthy: 1.0 0.0 0.0 
loving: 1.0 0.0 0.0 
sleep_with: 0.9352347372855702 0.05475236198699179 0.010012900727438047 
lie_with: 0.9352347372855702 0.05475236198699181 0.010012900727438049 
sleep_together: 0.9352347372855702 0.054752361986991835 0.010012900727438054 
have_sex: 0.93523473728557 0.05475236198699188 0.010012900727438065 
bang: 0.935234737735919 0.054752361597822104 0.010012900666258845 
fuck: 0.9352347495971873 0.05475235157827789 0.010012898824534745 
do_it: 0.9352347372855692 0.05475236198699262 0.010012900727438198 
have_it_off: 0.9352347372855682 0.05475236198699345 0.01001290072743835 
have_a_go_at_it: 0.9352347372855663 0.054752361986995124 0.010012900727438656 
bonk: 0.9352347363310894 0.054752362792801136 0.010012900876109444 
hump: 0.935237278116271 0.05474986795885764 0.010012853924871364 
love: 0.9352347372864567 0.05475236198624234 0.01001290072730099 
roll_in_the_hay: 0.9352347495971246 0.05475235157833095 0.01001289882454445 
make_out: 0.9351781713664155 0.05479891066520604 0.010022917968378483 
have_it_away: 0.9352347372853171 0.054752361987205705 0.010012900727477167 
get_it_on: 0.9352347372850641 0.054752361987419625 0.010012900727516287 
get_laid: 0.935234737284558 0.05475236198784747 0.01001290072759453 
bed: 0.9352347466320269 0.05475235408553394 0.010012899282439232 
be_intimate: 0.9352347372815215 0.05475236199041453 0.010012900728063984 
