Words; Positive; Negative; Neutral
बहादुर: 0.9998814002489693 8.596854067996181e-06 0.00011000289696265582 
दिलावर: 0.9998813989685854 8.596822600415231e-06 0.00011000420881411971 
वीर: 0.9998814342442411 8.597896107139693e-06 0.00010996785965170247 
नरवीर: 0.9998813989685854 8.596822600415233e-06 0.00011000420881411926 
जुझारू: 0.9999274024601196 9.727435546401576e-06 6.287010433405497e-05 
हृदयिक: 0.998498181201718 0.0 0.0015018187982820757 
दिलचला: 0.9964735461324735 0.0 0.0035264538675265256 
योद्धा: 0.9999187578227725 9.73374836965552e-06 7.150842885780587e-05 
शूर: 0.9998814002489693 8.596854067996185e-06 0.00011000289696265539 
जुझार: 0.9999274024601196 9.727435546401578e-06 6.287010433405499e-05 
बलवान: 0.9998813991701336 8.596830378295921e-06 0.00011000399948805456 
धौंताल: 0.9978395828318958 0.0001145810299227661 0.0020458361381814616 
शूरवीर: 0.9998814002489693 8.596854067996185e-06 0.00011000289696265539 
साहसी: 0.9984913796022064 0.0 0.0015086203977936765 
हृदयी: 0.9984981698129773 0.0 0.001501830187022684 
सूरमा: 0.9998814342442411 8.597896107139693e-06 0.00010996785965170247 
शूरमा: 0.9998814342442411 8.597896107139693e-06 0.00010996785965170247 
लड़ाका: 0.9999273755553368 9.727456629814844e-06 6.289698803331688e-05 
दिलेर: 0.9984913612147115 0.0 0.0015086387852884695 
नर व्याघ्र: 0.9998813989685854 8.596822600415233e-06 0.00011000420881411926 
हिम्मती: 0.9984913366973546 0.0 0.0015086633026454425 
दिलवाला: 0.9957595110422078 0.0 0.004240488957792134 
उपयोगी: 1.0 0.0 0.0 
अर्थकर: 1.0 0.0 0.0 
फायदेमंद: 1.0 0.0 0.0 
लाभजनक: 1.0 0.0 0.0 
लाभकर: 1.0 0.0 0.0 
लाभदायक: 1.0 0.0 0.0 
गुणकारी: 1.0 0.0 0.0 
सकारथ: 1.0 0.0 0.0 
फायदामंद: 1.0 0.0 0.0 
लाभप्रद: 1.0 0.0 0.0 
फ़ायदेमंद: 1.0 0.0 0.0 
उपादेय: 1.0 0.0 0.0 
लाभकारी: 1.0 0.0 0.0 
फ़ायदामंद: 1.0 0.0 0.0 
सार्थक: 1.0 0.0 0.0 
प्रसन्न: 0.9998894243040057 8.843441398664159e-06 0.00010173225459555154 
खुश: 0.9998894243040057 8.843441398664159e-06 0.00010173225459555154 
हर्षित: 0.9998894243040057 8.843441398664159e-06 0.00010173225459555154 
आनंदित: 0.9998894243040057 8.843441398664159e-06 0.00010173225459555154 
मुदित: 0.9998894243040057 8.843441398664159e-06 0.00010173225459555154 
विह्वल: 0.9998894243040057 8.843441398675762e-06 0.00010173225459555154 
पुलकित: 0.9998894243040057 8.843441398664159e-06 0.00010173225459555154 
ख़ुश: 0.9998894243040057 8.843441398664159e-06 0.00010173225459555154 
आह्लादित: 0.9998894243040057 8.843441398664159e-06 0.00010173225459555154 
आमुदित: 0.9998894243040057 8.843441398664159e-06 0.00010173225459555154 
अच्छा: 0.9999277401137836 9.708981852829849e-06 6.255090436359637e-05 
चुनिंदा: 0.9995788190307295 0.0 0.0004211809692704148 
ठीकठाक: 1.0 0.0 0.0 
सुन्दर: 0.9999172042697319 9.69041695726718e-06 7.31053133108283e-05 
त्रुटिहीन: 0.9987983657774573 0.0 0.001201634222542658 
फिट: 1.0 0.0 0.0 
लतीफ़: 0.05116279069767442 0.9488372093023256 0.0 
रोगमुक्त: 0.9999277401137843 9.70898185282988e-06 6.255090436285804e-05 
लज़ीज: 1.0 0.0 0.0 
शुभ: 1.0 0.0 0.0 
टनाटन: 1.0 0.0 0.0 
खोटरहित: 1.0 0.0 0.0 
लज़ीज़: 1.0 0.0 0.0 
ख़ैर: 0.9986979930210529 0.0 0.001302006978947064 
खालिस: 1.0 0.0 0.0 
लज़्ज़तदार: 1.0 0.0 0.0 
सुंदर: 0.9999172042697319 9.690416957267177e-06 7.310531331082828e-05 
मजेदार: 1.0 0.0 0.0 
धुर: 0.9995747964441613 0.0 0.0004252035558387614 
अच्छे से: 1.0 0.0 0.0 
खरा: 0.9996526685281705 2.7783638853274796e-06 0.00034455310794418245 
पुण्य: 1.0 0.0 0.0 
दुरुस्त: 1.0 0.0 0.0 
अच्छी तरह: 0.9995680438056047 0.0 0.0004319561943952506 
स्वस्थ: 0.9999277401137843 9.70898185282988e-06 6.255090436285804e-05 
सेहतमंद: 0.9999277401137843 9.70898185282988e-06 6.255090436285804e-05 
जायकेदार: 1.0 0.0 0.0 
सुहाना: 0.7532467532467533 0.0 0.24675324675324675 
ठीक: 0.9999273762092459 9.727398924423426e-06 6.289639182971722e-05 
बढ़िया: 0.9996526685281705 2.7783638853274855e-06 0.0003445531079441821 
चुनिन्दा: 0.999578807165266 0.0 0.0004211928347339996 
मुबारक: 1.0 0.0 0.0 
ठीक-ठाक: 1.0 0.0 0.0 
भला-चंगा: 0.9999277401137843 9.70898185282988e-06 6.255090436285804e-05 
सुचारु रूप से: 1.0 0.0 0.0 
स्वादिष्ट: 1.0 0.0 0.0 
मज़ेदार: 1.0 0.0 0.0 
खोटहीन: 1.0 0.0 0.0 
रोगहीन: 0.9999277401137843 9.70898185282988e-06 6.255090436285804e-05 
चोखा: 0.9999228370628391 9.585404974274142e-06 6.757753218659527e-05 
लजीज: 1.0 0.0 0.0 
प्यारा: 0.9995138254538165 1.4640800405420257e-05 0.00047153374577802186 
सुहेलरा: 0.7529022220449196 0.0 0.2470977779550804 
लज्जतदार: 1.0 0.0 0.0 
शानदार: 1.0 0.0 0.0 
खैर: 0.9986983750216264 0.0 0.0013016249783736331 
अपीच: 0.752764140023151 0.0 0.24723585997684908 
निरोगी: 0.9999277401137843 9.70898185282988e-06 6.255090436285804e-05 
सुहावन: 0.7524875124875124 0.0 0.2475124875124875 
अच्छी तरह से: 1.0 0.0 0.0 
अस्तु: 1.0 0.0 0.0 
विशुद्ध: 0.9996526685281705 2.7783638853274855e-06 0.0003445531079441821 
सुहावना: 0.7519323961712524 0.0 0.24806760382874765 
तंदुरुस्त: 0.9999277401137843 9.70898185282988e-06 6.255090436285804e-05 
ठीक ठाक: 1.0 0.0 0.0 
मांगलिक: 1.0 0.0 0.0 
भला: 1.0 0.0 0.0 
त्रुटिरहित: 0.9987756351392715 0.0 0.001224364860728497 
ज़ायकेदार: 1.0 0.0 0.0 
सुहेला: 0.750814659854367 0.0 0.249185340145633 
व्याधिहीन: 0.9999277401137843 9.708981852829881e-06 6.255090436285804e-05 
शुद्ध: 0.9996612019323301 2.998548468552814e-06 0.00033579951920139505 
निरोग: 0.9999277401137843 9.708981852829881e-06 6.255090436285804e-05 
मुलायम: 1.0 0.0 0.0 
नाज़ुक: 1.0 0.0 0.0 
नाजुक: 1.0 0.0 0.0 
कमज़ोर: 0.9971145885507654 0.0027915639533195253 9.3847495915075e-05 
सोमाल: 1.0 0.0 0.0 
कच्चा: 0.9999279871668534 9.700664272469764e-06 6.231216887410438e-05 
कमजोर: 0.9971145885504931 0.0027915639535829617 9.384749592393127e-05 
अप्रखर: 1.0 0.0 0.0 
लचर: 1.0 0.0 0.0 
अदृढ़: 1.0 0.0 0.0 
तनु: 0.9883146627611673 0.010937475655547419 0.0007478615832852936 
कोमल: 1.0 0.0 0.0 
मृदुल: 1.0 0.0 0.0 
नर्म: 0.9984579038103221 0.0010227636435915675 0.0005193325460864203 
मृदु: 1.0 0.0 0.0 
गुलगुल: 1.0 0.0 0.0 
नरम: 0.9984749169578121 0.0010114800227432866 0.0005136030194446308 
ईमानदार: 0.9999264163078121 9.684827920512256e-06 6.389886426736504e-05 
ऋजु: 0.9999264163078121 9.684827920512256e-06 6.389886426736504e-05 
दयानतदार: 0.9999264163078121 9.684827920512256e-06 6.389886426736504e-05 
निष्कपट: 0.9999264162361244 9.684833750306087e-06 6.389893012523186e-05 
सहधर्म: 0.9999264163078122 9.684827920514256e-06 6.389886426732202e-05 
सच्चा: 0.9999264163078121 9.68482792051228e-06 6.389886426736505e-05 
रिजु: 0.9999264163078121 9.684827920512256e-06 6.389886426736504e-05 
छलहीन: 0.9999264163078121 9.684827920512256e-06 6.389886426736504e-05 
निःकपट: 0.9999264162361244 9.684833750306087e-06 6.389893012523186e-05 
सधर्म: 0.9999264163078122 9.684827920514256e-06 6.389886426732202e-05 
